Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	MeSH_cos_sim	Year_Diff	MeSH_cos_dist	Diffusion_Z_MeSH
19426215	11015443	2009.0	2000.0	0.71061647	9.0	0.28938353	-0.3786033749242988
19246340	11015443	2009.0	2000.0	0.7320469	9.0	0.2679531	-0.5433066190048552
19811462	11015443	2009.0	2000.0	0.5992417	9.0	0.4007583	0.4773657273161047
19426219	11015443	2009.0	2000.0	0.76205724	9.0	0.23794276	-0.7739506309990375
19380770	11015443	2009.0	2000.0	0.78410065	9.0	0.21589935	-0.9433649235539594
19734216	11015443	2009.0	2000.0	0.7062018	9.0	0.2937982	-0.3446744957303162
19729380	11015443	2009.0	2000.0	0.7433938	9.0	0.2566062	-0.630513046512734
19838621	11015443	2009.0	2000.0	0.63047975	9.0	0.36952025	0.2372861687747863
19723542	11015443	2009.0	2000.0	0.72889507	9.0	0.27110493	-0.5190832774391276
19724910	11015443	2009.0	2000.0	0.73638827	9.0	0.26361173	-0.5766721521627995
18830259	11015443	2009.0	2000.0	0.69626355	9.0	0.30373645	-0.2682942263897759
19423728	11015443	2009.0	2000.0	0.6964912	9.0	0.3035088	-0.2700438270051132
19959874	11015443	2009.0	2000.0	0.61737734	9.0	0.38262266	0.3379845417086716
19472182	11015443	2009.0	2000.0	0.7292751	9.0	0.2707249	-0.5220039922287016
19182257	11015443	2009.0	2000.0	0.6351673	9.0	0.3648327	0.2012600744878397
19759858	11015443	2009.0	2000.0	0.7016796	9.0	0.2983204	-0.3099191963554975
19339692	11015443	2009.0	2000.0	0.75482416	9.0	0.24517584	-0.7183609045822466
19081139	11015443	2009.0	2000.0	0.67080337	9.0	0.32919663	-0.0726203999254964
19444307	11015443	2009.0	2000.0	0.5871781	9.0	0.4128218999999999	0.5700803417820856
19010538	11015443	2009.0	2000.0	0.5959646	9.0	0.4040354	0.5025518295630683
19442121	11015443	2009.0	2000.0	0.73518384	9.0	0.2648161599999999	-0.5674155237018713
19442732	11015443	2009.0	2000.0	0.60711044	9.0	0.3928895599999999	0.4168906456296223
20007574	11015443	2009.0	2000.0	0.6992274	9.0	0.3007725999999999	-0.2910728505222909
19794071	11015443	2009.0	2000.0	0.7442296	9.0	0.2557703999999999	-0.6369365747108401
19091870	11015443	2009.0	2000.0	0.5369136	9.0	0.4630864	0.9563873926479398
18561984	11015443	2009.0	2000.0	0.58171	9.0	0.41829	0.6121053412317888
19230866	11015443	2009.0	2000.0	0.7563757	9.0	0.2436243	-0.7302852416730445
19436710	11015443	2009.0	2000.0	0.70992905	9.0	0.29007095	-0.3733202189612195
19013006	11015443	2009.0	2000.0	0.6871983	9.0	0.3128016999999999	-0.198623385282003
19761435	11015443	2009.0	2000.0	0.50031734	9.0	0.4996826599999999	1.2376473927139902
19294574	11015443	2009.0	2000.0	0.70710516	9.0	0.29289484	-0.3516172552816931
19201863	11015443	2009.0	2000.0	0.719922	9.0	0.280078	-0.4501208843204677
19454660	11015443	2009.0	2000.0	0.7633927	9.0	0.2366072999999999	-0.7842142885336661
19811426	11015443	2009.0	2000.0	0.5463592	9.0	0.4536407999999999	0.8837933773954549
19597183	11015443	2009.0	2000.0	0.6771898	9.0	0.3228102	-0.1217032106340719
19238515	11015443	2009.0	2000.0	0.7719403	9.0	0.2280596999999999	-0.8499067384333163
20121696	11015443	2009.0	2000.0	0.5316845	9.0	0.4683155	0.9965755612297944
19451266	11015443	2009.0	2000.0	0.5809927	9.0	0.4190072999999999	0.6176181394807726
19208793	11015443	2009.0	2000.0	0.73936987	9.0	0.26063013	-0.5995871936505621
19431077	11015443	2009.0	2000.0	0.6765227	9.0	0.3234772999999999	-0.1165762237221842
19449188	11015443	2009.0	2000.0	0.56292355	9.0	0.4370764499999999	0.7564883172036733
19318274	11015443	2009.0	2000.0	0.52842736	9.0	0.47157264	1.0216082612000956
19905953	11015443	2009.0	2000.0	0.65360755	9.0	0.3463924499999999	0.0595378133546527
19368976	11015443	2009.0	2000.0	0.65698385	9.0	0.3430161499999999	0.0335893110152604
19116915	11015443	2009.0	2000.0	0.6616207	9.0	0.3383793	-0.0020471291921881
19264916	11015443	2009.0	2000.0	0.61745363	9.0	0.38254637	0.337398216073073
19383275	11015443	2009.0	2000.0	0.5471017	9.0	0.4528983	0.8780869049294423
19259666	11015443	2009.0	2000.0	0.64972275	9.0	0.35027725	0.0893943847162235
19417208	11015443	2009.0	2000.0	0.6914518	9.0	0.3085482	-0.2313135948903324
19670224	11015443	2009.0	2000.0	0.6944176	9.0	0.3055824	-0.2541072057182121
19688742	11015443	2009.0	2000.0	0.6739454	9.0	0.3260545999999999	-0.0967684237401578
20425407	11015443	2009.0	2000.0	0.5940824	9.0	0.4059176	0.51701744905873
19891011	11015443	2009.0	2000.0	0.6138807	9.0	0.3861193	0.3648579152892225
19483479	11015443	2009.0	2000.0	0.33482182	9.0	0.6651781800000001	2.5095606965907025
19710456	11015443	2009.0	2000.0	0.72552884	9.0	0.27447116	-0.4932121679316985
19380239	11015443	2009.0	2000.0	0.8250586	9.0	0.1749414	-1.2581466258291458
19890047	11015443	2009.0	2000.0	0.700605	9.0	0.2993949999999999	-0.301660374386505
18775867	11015443	2009.0	2000.0	0.63361394	9.0	0.3663860599999999	0.2131983991609781
19935456	11015443	2009.0	2000.0	0.591756	9.0	0.408244	0.5348969609037568
19544488	11015443	2009.0	2000.0	0.81166494	9.0	0.18833506	-1.1552098554464714
19268606	11015443	2009.0	2000.0	0.6766009	9.0	0.3233991	-0.1171772286337555
17873879	11015443	2007.0	2000.0	0.5838679	7.0	0.4161321	0.6495060511490175
17597384	11015443	2007.0	2000.0	0.57205176	7.0	0.42794824	0.7418656572031688
17977484	11015443	2007.0	2000.0	0.7193842	7.0	0.2806157999999999	-0.4097427459976147
17610472	11015443	2007.0	2000.0	0.6755957	7.0	0.3244043	-0.0674745763836619
17617580	11015443	2007.0	2000.0	0.60789996	7.0	0.39210004	0.4616620010387672
18092950	11015443	2007.0	2000.0	0.5328477	7.0	0.4671522999999999	1.0483000374088294
17850486	11015443	2007.0	2000.0	0.65445006	7.0	0.34554994	0.0978080776948199
17284525	11015443	2007.0	2000.0	0.7889493	7.0	0.2110507	-0.953490977748224
17979844	11015443	2007.0	2000.0	0.63305163	7.0	0.36694837	0.2650666380180163
17853943	11015443	2007.0	2000.0	0.7092768	7.0	0.2907231999999999	-0.3307393250638978
17606978	11015443	2007.0	2000.0	0.8015241	7.0	0.1984759	-1.0517805692907871
17606980	11015443	2007.0	2000.0	0.6898331	7.0	0.3101669	-0.1787597046265037
17558425	11015443	2007.0	2000.0	0.5097491	7.0	0.4902509	1.228847796355696
17558743	11015443	2007.0	2000.0	0.7755636	7.0	0.2244363999999999	-0.848863072293562
17885290	11015443	2007.0	2000.0	0.6287441	7.0	0.3712558999999999	0.2987359897577921
17404099	11015443	2007.0	2000.0	0.6375164	7.0	0.3624836	0.2301682364822868
17879023	11015443	2007.0	2000.0	0.59567887	7.0	0.40432113	0.5571868558519578
17289811	11015443	2007.0	2000.0	0.80549914	7.0	0.19450086	-1.0828510481823286
17875753	11015443	2007.0	2000.0	0.6449168	7.0	0.3550832	0.1723237941649869
17875755	11015443	2007.0	2000.0	0.8072953	7.0	0.1927046999999999	-1.09689054246813
17336689	11015443	2007.0	2000.0	0.6290555	7.0	0.3709445	0.2963019646594724
17392506	11015443	2007.0	2000.0	0.8049636	7.0	0.1950364	-1.0786650565280116
