Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
23966393	11015443	2013.0	2000.0	0.6049613	13.0	0.3950386999999999	-0.2372917848658484
24043779	11015443	2013.0	2000.0	0.7345406	13.0	0.2654594	-1.0998827942286682
24045115	11015443	2013.0	2000.0	0.46786565	13.0	0.53213435	0.6753344996776851
24039998	11015443	2013.0	2000.0	0.7869351	13.0	0.2130649	-1.4486655445603975
23888327	11015443	2013.0	2000.0	0.55596393	13.0	0.44403607	0.0888767531986694
23890061	11015443	2013.0	2000.0	0.6192297	13.0	0.3807703	-0.3322744986017031
24030385	11015443	2013.0	2000.0	0.7882678	13.0	0.2117322	-1.457537139314944
24026080	11015443	2013.0	2000.0	0.64248896	13.0	0.35751104	-0.4871080913162205
24028656	11015443	2013.0	2000.0	0.5107545	13.0	0.4892455	0.3898295122922727
22828443	11015443	2013.0	2000.0	0.6113093	13.0	0.3886906999999999	-0.2795495199163944
24015224	11015443	2013.0	2000.0	0.50281227	13.0	0.49718773	0.4426998101893266
23918986	11015443	2013.0	2000.0	0.607373	13.0	0.3926269999999999	-0.2533461294816962
24001893	11015443	2013.0	2000.0	0.39588076	13.0	0.60411924	1.1545276958438284
23902290	11015443	2013.0	2000.0	0.4895904	13.0	0.5104096	0.5307159222455267
23861247	11015443	2013.0	2000.0	0.567845	13.0	0.4321549999999999	0.0097861564474108
24244028	11015443	2013.0	2000.0	0.68269515	13.0	0.3173048499999999	-0.7547549918221913
24777499	11015443	2013.0	2000.0	0.6227238	13.0	0.3772761999999999	-0.355534226396302
23810579	11015443	2013.0	2000.0	0.697253	13.0	0.302747	-0.8516645331274192
24778130	11015443	2013.0	2000.0	0.43723872	13.0	0.5627612799999999	0.8792136259145483
23817133	11015443	2013.0	2000.0	0.4920382	13.0	0.5079618	0.5144212650532257
24777678	11015443	2013.0	2000.0	0.6013177	13.0	0.3986823	-0.2130368567892618
24145345	11015443	2013.0	2000.0	0.4877426	13.0	0.5122574	0.5430164645937302
24240160	11015443	2013.0	2000.0	0.82467794	13.0	0.1753220599999999	-1.6999142737310249
24331182	11015443	2013.0	2000.0	0.5525596	13.0	0.4474403999999999	0.1115388948440101
24205212	11015443	2013.0	2000.0	0.45432192	13.0	0.5456780800000001	0.7654931880734209
23806499	11015443	2013.0	2000.0	0.60245764	13.0	0.39754236	-0.220625275581562
